PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-,Total Min,First Player,Second Player,Third Player,Fourth Player,Fifth Player
8.350000000000001,3.25,6.95,46.7,0.8,2.1,38.75,1.0,1.35,74.5,0.7,2.5999999999999996,3.3,2.25,1.25,1.0,0.6499999999999999,0.25,1.7,1.35,-0.05,136.7,Floor General,Shooting Wing,3-and-D Wing,Versatile Forward,Scoring Center
8.35,3.0,6.4,46.6,0.75,1.85,40.8,1.6,2.1,75.15,0.8500000000000001,2.25,3.1,1.9,0.95,0.5,0.35,0.3,1.4,1.6,-0.15,205.8,Scoring Wing,Scoring Wing,3-and-D Wing,Versatile Forward,Scoring Center
21.8,8.5,18.0,47.0,2.8,6.1,45.6,2.1,3.4,61.4,1.8,6.9,8.8,5.4,3.1,1.9,0.5,1.3,4.4,3.1,-0.2,131.29999999999998,Scoring Wing,Shooting Wing,3-and-D Wing,Versatile Forward,Supporting Center
15.05,5.8,12.3,47.15,1.35,2.9000000000000004,46.4,2.0999999999999996,2.7,78.94999999999999,2.0,4.7,6.75,3.1500000000000004,2.35,1.05,0.9,0.9,2.4000000000000004,2.7,-0.25,237.89999999999998,Combo Guard,Scoring Wing,Shooting Wing,Scoring Center,Supporting Center
24.0,9.0,18.5,48.8,1.9,4.7,40.6,4.0,4.9,82.2,1.6,7.5,9.1,5.6,3.6,2.1,1.7,1.1,4.2,4.8,-0.3,605.0,Floor General,Scoring Wing,Shooting Wing,3-and-D Wing,Scoring Center
8.6,3.0999999999999996,6.7,46.2,0.8999999999999999,2.35,38.5,1.5,1.9,79.6,0.6,2.5,3.05,1.65,1.25,0.6000000000000001,0.35,0.4,1.75,1.6,-0.4,233.39999999999998,Combo Guard,Scoring Wing,Scoring Wing,Versatile Forward,Supporting Center
8.9,3.7,9.2,40.4,0.7,2.3,29.7,0.8,1.4,55.6,1.4,3.6,5.0,2.1,1.1,0.5,0.5,0.4,1.6,1.5,-0.7,191.10000000000002,Floor General,Shooting Wing,Shooting Wing,Versatile Forward,Supporting Center
19.272727272727273,7.500000000000001,16.145454545454545,46.63636363636363,1.7272727272727273,4.409090909090909,39.51818181818182,2.5454545454545454,3.245454545454545,77.83636363636363,1.9363636363636365,6.136363636363637,8.036363636363635,4.336363636363636,2.472727272727273,1.318181818181818,0.9727272727272727,0.8636363636363638,3.436363636363636,3.163636363636364,-0.7000000000000001,2099.3,Combo Guard,Shooting Wing,3-and-D Wing,Scoring Center,Supporting Center
23.72,8.92,18.619999999999997,48.040000000000006,2.3,5.540000000000001,43.260000000000005,3.6,4.720000000000001,75.19999999999999,2.0,7.5,9.459999999999999,5.4399999999999995,3.4599999999999995,1.94,0.9000000000000001,0.76,3.96,4.0600000000000005,-0.76,441.0,Combo Guard,Shooting Wing,Shooting Wing,Scoring Center,Supporting Center
12.166666666666666,4.3,9.933333333333334,44.833333333333336,1.133333333333333,3.433333333333333,33.9,2.466666666666667,2.966666666666667,83.76666666666667,1.1666666666666667,4.166666666666667,5.3,2.6,2.0333333333333337,0.8666666666666667,0.5,0.5333333333333333,2.433333333333333,2.433333333333333,-0.8333333333333334,270.29999999999995,Combo Guard,Scoring Wing,Shooting Wing,Versatile Forward,Supporting Center
18.266666666666666,6.866666666666666,15.200000000000001,45.23333333333333,1.4666666666666668,4.266666666666667,35.1,3.1333333333333333,4.066666666666667,73.7,2.1666666666666665,5.633333333333333,7.766666666666667,3.6666666666666665,2.6666666666666665,1.6666666666666667,0.7000000000000001,0.8333333333333334,3.9666666666666663,3.566666666666667,-0.8666666666666666,714.1999999999999,Combo Guard,Scoring Wing,3-and-D Wing,Versatile Forward,Supporting Center
46.3,17.6,37.2,47.4,3.2,9.1,35.5,7.9,10.0,78.2,4.8,14.2,19.0,11.2,6.4,3.2,2.0,2.2,7.8,8.9,-0.9,881.5,Floor General,Scoring Wing,Shooting Wing,Scoring Center,Supporting Center
18.3,6.8,14.0,48.5,1.6,4.0,39.3,3.0,3.7,81.7,1.1,5.7,6.8,3.7,2.7,1.0,0.7,1.0,3.1,3.0,-1.0,178.2,Scoring Wing,Shooting Wing,3-and-D Wing,Versatile Forward,Scoring Center
15.55,5.9,13.0,45.4,0.8500000000000001,2.75,31.549999999999997,2.9000000000000004,3.6999999999999997,78.1,2.0,4.199999999999999,6.15,3.4,2.25,1.85,0.8,0.6,2.75,3.15,-1.0499999999999998,338.9,Combo Guard,3-and-D Wing,3-and-D Wing,Versatile Forward,Supporting Center
15.7,5.6,12.4,45.6,2.0,5.3,38.1,2.4,2.8,86.9,0.7,5.0,5.7,3.4,1.8,1.2,0.9,0.9,2.6,2.6,-1.1,219.0,Combo Guard,Shooting Wing,3-and-D Wing,3-and-D Wing,Versatile Forward
25.4,9.35,19.3,48.25,2.65,5.85,43.650000000000006,4.1,4.95,83.15,1.7000000000000002,6.550000000000001,8.25,5.4,3.35,2.45,0.9,1.25,4.55,4.7,-1.5,186.6,Combo Guard,Shooting Wing,3-and-D Wing,3-and-D Wing,Scoring Center
22.549999999999997,9.05,20.05,45.4,2.0,5.300000000000001,38.150000000000006,2.45,3.5500000000000003,70.5,2.9000000000000004,6.85,9.75,5.550000000000001,2.8,1.4,1.05,0.75,3.4000000000000004,3.5,-1.7,499.6,Combo Guard,Shooting Wing,Shooting Wing,Versatile Forward,Supporting Center
10.8,4.0,9.3,42.45,1.05,3.25,31.650000000000002,1.85,2.65,69.6,1.0,2.8499999999999996,3.8499999999999996,2.35,1.5,0.9,0.39999999999999997,0.6,1.75,2.1,-1.8,144.2,Floor General,Shooting Wing,3-and-D Wing,Versatile Forward,Versatile Forward
22.4,8.6,19.8,43.6,3.0,7.2,41.5,2.2,3.3,65.1,3.0,7.2,10.2,4.8,4.0,1.8,0.9,1.5,4.5,2.7,-3.1,136.5,Scoring Wing,Shooting Wing,Shooting Wing,Scoring Center,Supporting Center
24.0,9.7,21.1,46.0,1.2,4.7,25.5,3.4,4.5,75.6,2.1,7.1,9.2,6.1,2.9,2.2,0.5,1.0,5.0,4.5,-3.2,112.0,Floor General,Scoring Wing,3-and-D Wing,Scoring Center,Supporting Center
28.5,11.7,24.9,47.0,1.4,4.8,29.2,3.7,4.9,75.5,3.3,7.6,10.9,5.7,4.4,2.8,1.4,1.1,6.4,5.2,-4.0,129.0,Floor General,Scoring Wing,3-and-D Wing,Versatile Forward,Scoring Center
