,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-,First Player,Second Player,Third Player,Fourth Player,Fifth Player
58,IND,44,10.1,22.6,8.4,17.3,48.5,2.2,5.4,40.2,3.6,4.3,84,1.7,7,8.8,5.3,2.8,1.8,1,1,4,4,1.3,P.George, C.Miles, J.Teague, M.Turner, T.Young
59,LAC,13,10.1,21.8,8.5,18,47,2.8,6.1,45.6,2.1,3.4,61.4,1.8,6.9,8.8,5.4,3.1,1.9,0.5,1.3,4.4,3.1,-0.2,B.Griffin, D.Jordan, L.Mbah, J.Redick, A.Rivers
60,DEN,20,9.9,23.7,9.1,18.5,48.9,2,6.4,31.3,3.6,4,90,2.6,7.5,10.1,5.6,3,1.5,0.9,0.8,4.2,4,0.7,W.Chandler, D.Gallinari, G.Harris, N.Jokic, J.Nelson
61,MIL,14,9.8,20.6,8.2,16.1,51.1,1.6,4.7,33.3,2.6,3.3,78.3,1.5,7.2,8.7,5.4,3.6,1.9,1.1,0.9,4.4,3.9,0,G.Antetokounmpo, M.Dellavedova, J.Parker, M.Plumlee, T.Snell
62,IND,11,9.6,23.1,8.4,16.2,51.7,1.5,3.7,39,4.9,6,81.8,1.5,7.1,8.6,5,3.1,2,0.9,0.6,2.5,4.7,2.6,M.Ellis, G.Robinson III, J.Teague, M.Turner, T.Young
63,MIA,26,9.5,20.9,8,16.5,48.6,2.4,5.1,47,2.5,3.5,72.2,1.4,6.8,8.2,4.4,3.1,1.1,1.3,1.2,3.8,3,0.2,L.Babbitt, G.Dragic, R.McGruder, D.Waiters, H.Whiteside
64,MIA,10,9.5,20.4,8.2,17.5,46.9,2,4.7,42.6,2,2.7,74.1,2.6,6.1,8.7,5.7,2.8,0.9,1.3,0.5,3.1,3,-0.9,G.Dragic, W.Ellington, R.McGruder, J.McRoberts, H.Whiteside
65,DET,41,9.4,19.1,7.6,16.8,45.1,1.8,5.6,32.3,2.1,3.3,64.9,1.9,6.5,8.4,3.9,2.3,1.2,0.7,0.7,3.1,2.9,-2,K.Caldwell-Pope, A.Drummond, T.Harris, R.Jackson, M.Morris
66,NOP,13,9.4,21.2,8.5,17.5,48.5,2.1,5.2,40.3,2.2,3,74.4,1.4,7.7,9.1,4.8,2.2,1.1,1.1,1.2,2.8,3.2,1.6,A.Davis, B.Hield, S.Hill, J.Holiday, T.Jones
67,BKN,7,9.3,20.9,7.6,15.7,48.2,2.1,5.1,41.7,3.6,4.4,80.6,1,8,9,5,3.1,1.3,1.6,1,2.7,4.1,0.3,B.Bogdanovic, S.Dinwiddie, R.Foye, R.Hollis-Jefferson, B.Lopez
68,LAL,9,9.3,22.7,8.4,16.8,50.3,2.3,5.7,41.2,3.4,4.2,81.6,1.3,5.8,7.1,5.3,2.6,0.9,1,1.1,3.9,3.3,-2.3,J.Clarkson, B.Ingram, J.Randle, D.Russell, I.Zubac
69,UTA,16,9.3,20.2,7.6,15.6,49,1.8,4.9,37.2,3.1,3.8,82,2.3,7.4,9.8,4.4,2.8,1.3,0.9,0.7,3.1,3.6,3.7,D.Favors, R.Gobert, G.Hayward, G.Hill, J.Ingles
70,ORL,9,9.3,23.2,9.1,16.9,53.9,2.3,5.8,40.4,2.7,3.3,80,1.2,6.3,7.6,6.1,2.7,1.8,0.7,0.8,3.7,2.9,0.9,A.Gordon, S.Ibaka, J.Meeks, E.Payton, N.Vucevic
71,GSW,19,9.2,22.6,8.6,17.7,48.7,3.2,7,45.9,2.1,2.3,93,2.1,6.8,8.8,6.8,3.1,1.9,0.7,1.2,3.5,2.8,2.4,S.Curry, D.Green, P.McCaw, Z.Pachulia, K.Thompson
72,SAC,10,9.1,17.2,6.8,15.8,43,1.9,4.8,39.6,1.7,2.3,73.9,1,5.9,6.9,4.4,1.8,1,0.7,0.7,3.7,3.8,-4.4,M.Barnes, D.Collison, D.Cousins, K.Koufos, B.McLemore
73,CHI,15,9.1,22.3,8.5,16.5,51.8,1.9,4.2,46,3.3,4.3,78.1,2.5,6.5,9,5.5,2.5,1.5,0.9,0.7,2.4,3.4,4.3,J.Butler, R.Lopez, N.Mirotic, R.Rondo, P.Zipser
74,MIL,15,9,18.7,7.1,15.1,47.1,2.3,5.2,43.6,2.2,2.8,78.6,1.3,5.5,6.9,4.7,1.7,1.3,1.2,0.7,2.9,2.9,1.1,G.Antetokounmpo, M.Brogdon, T.Maker, K.Middleton, T.Snell
75,MIL,11,9,18.9,6.7,14.9,45.1,1.9,5.5,35,3.5,4.5,78,1.3,6.9,8.2,3.8,1.8,0.9,1,0.6,3.1,4,2.2,G.Antetokounmpo, M.Dellavedova, T.Maker, K.Middleton, T.Snell
76,NYK,12,9,21.1,7.7,16.3,47.2,1.8,4.4,39.6,4,4.7,85.7,1.6,6.4,8,3.8,2,1.6,0.8,1.3,3.8,3.6,1.3,C.Anthony, C.Lee, K.Porzingis, D.Rose, L.Thomas
77,CHI,9,9,18.4,7.4,16.8,44.4,1.6,3.3,46.7,2,2.6,78.3,1.8,6.9,8.7,4.8,2,1.4,0.6,1.2,2.7,2.2,-1.8,J.Butler, J.Grant, R.Lopez, B.Portis, D.Wade
78,ORL,33,9,19.3,7.9,16.5,47.7,1.2,3.8,31.5,2.4,3.2,75,2.1,5.9,8,4.6,2.4,1.3,0.7,0.9,3.5,2.8,-0.2,E.Fournier, A.Gordon, S.Ibaka, E.Payton, N.Vucevic
79,SAC,8,8.9,18.4,6.9,14.9,46.2,1.6,3.5,46.4,3,3.4,88.9,2,6,8,4.5,3.3,1.6,0.9,0.9,2.9,3.8,-0.3,A.Afflalo, D.Collison, D.Cousins, R.Gay, K.Koufos
80,LAL,22,8.9,20,7.4,15.8,46.8,1.3,3.9,32.9,4,5.1,77.7,2.3,6.7,9,3.9,2.8,1.8,1,0.7,4,4,1.3,T.Black, J.Clarkson, B.Ingram, L.Nance Jr., L.Williams
81,PHX,32,8.9,18.8,7.1,16,44.1,1.8,4.9,35.7,2.9,3.9,75,2.5,5.6,8,3.5,3,1.6,0.6,0.8,3.9,4,-1.1,E.Bledsoe, D.Booker, T.Chandler, M.Chriss, P.Tucker
82,DAL,14,8.8,20.3,7.4,15.8,47.1,3.4,6.9,48.5,2.1,2.6,80.6,1.1,5.6,6.7,5.3,2.1,0.9,0.5,0.4,3.4,2.6,0.5,H.Barnes, S.Curry, W.Matthews, D.Nowitzki, D.Williams
83,CLE,15,8.8,20.3,7.7,15.5,49.8,2.4,5.9,40.4,2.5,3.5,69.8,1.7,7.3,9,4,2.1,0.9,0.9,0.7,2.6,2.9,2.4,K.Irving, L.James, R.Jefferson, I.Shumpert, T.Thompson
